d,D,B,C,C0,designation
17,40,12,9.95,4.75,6203
17,40,12,9.95,4.75,6203NR
17,40,12,9.95,4.75,6203-2RSH
17,40,12,9.95,4.75,6203-2RSH/VA947
17,40,12,9.95,4.75,6203-2RSL
17,40,12,9.56,4.75,6203-2RSLTN9/HC5C3WT
17,40,12,9.95,4.75,6203-2Z
17,40,12,9.95,4.75,6203-2ZNR
17,40,12,9.95,4.75,6203-RSH
17,40,12,9.95,4.75,6203-Z
17,40,12,8.06,4.75,W 6203
17,40,12,8.06,4.75,W 6203-2RS1
17,40,12,8.06,4.75,W 6203-2RS1/VP311
17,40,12,8.06,4.75,W 6203-2Z
17,40,12,20,14.3,N 203 ECP
17,40,12,20,14.3,N 203 ECPH
17,40,12,20,14.3,NJ 203 ECP
17,40,12,20,14.3,NJ 203 ECPHA
17,40,12,20,14.3,NU 203 ECP
17,40,12,20,14.3,NU 203ECPHA
17,40,12,20,14.3,NUP 203 ECP
17,40,12,12.5,6.7,7203 ACCBM
17,40,12,8.84,4,7203 ACD/HCP4A
17,40,12,8.84,4,7203 ACD/P4A
17,40,12,8.84,4,7203 ACDGA/HCP4A
17,40,12,8.84,4,7203 ACDGA/P4A
17,40,12,8.84,4,7203 ACDGB/P4A
17,40,12,10.4,5.5,7203 BE-2RZP
17,40,12,11,5.85,7203 BECBM
17,40,12,11,5.85,7203 BECBP
17,40,12,11,5.85,7203 BEGAP
17,40,12,10.4,5.5,7203 BEP
17,40,12,10.4,5.5,7203 BEY
17,40,12,9.23,4.15,7203 CD/HCP4A
17,40,12,9.23,4.15,7203 CD/P4A
17,40,12,9.23,4.15,7203 CDGA/HCP4A
17,40,12,9.23,4.15,7203 CDGA/P4A
17,40,12,9.23,4.15,7203 CDGA/P4AGMM
17,40,12,9.23,4.15,7203 CDGB/HCP4A
17,40,12,9.23,4.15, 7203 CDGB/P4A
17,40,12,8.84,4,S7203 ACD/HCP4A
17,40,12,9.23,4.15,S7203 CD/P4A
17,40,12,9.23,4.15,S7203 CDGA/HCP4A
17,40,16,9.56,4.75,62203-2RS1
17,40,16,27.5,21.6,NJ 2203 ECP
17,40,16,27.5,21.6,NU 2203 ECP
17,40,16,27.5,21.6,NUP 2203 ECP
17,40,16,8.84,4,7203 ACDGC/P4A
17,40,17.5,14.3,8.8,3203 A-2RS1TN9/C3
17,40,17.5,14.3,8.8,3203 A-2RS1TN9/C3MT33
17,40,17.5,14.3,8.8,3203 A-2RS1TN9/GWK9
17,40,17.5,14.3,8.8,3203 A-2RS1TN9/MT33
17,40,17.5,14.3,8.8,3203 A-2ZTN9/C3WT
17,40,17.5,14.3,8.8,3203 A-2ZTN9/MT33
17,40,17.5,14.3,8.8,3203 ATN9
20,42,12,9.95,5,6004
20,42,12,9.95,5,6004-2RSH
20,42,12,9.95,5,6004-2RSH/VA947
20,42,12,9.95,5,6004-2RSL
20,42,12,9.36,5,6004-2RSLTN9/HC5C3WT
20,42,12,9.95,5,6004-2Z
20,42,12,9.95,5,6004-RSH
20,42,12,9.95,5,6004-RSL
20,42,12,8.06,5,W 6004
20,42,12,8.06,5,W 6004-2RS1
20,42,12,8.06,5,W 6004-2RS1/VP311
20,42,12,8.06,5,W 6004-2Z
15,42,13,11.9,5.4,6302
15,42,13,11.9,5.4,6302-2RSH
15,42,13,11.9,5.4,6302-2RSH/VA947
15,42,13,11.9,5.4,6302-2RSL
15,42,13,11.9,5.4,6302-2Z
15,42,13,11.9,5.4,6302-RSH
15,42,13,11.9,5.4,6302-Z
15,42,13,9.95,5.4,W 6302
15,42,13,9.95,5.4,W 6302-2RS1
15,42,13,9.95,5.4,W 6302-2Z
15,42,17,14.8,9.5,4302 ATN9
15,42,17,11.4,5.4,62302-2RS1
